s,a,r,sp
79,3,0,89
89,5,0,89
89,3,0,99
99,5,0,99
99,3,0,99
99,2,0,100
100,4,100,99
99,4,0,98
98,2,0,99
99,2,0,100
100,5,100,100
100,2,100,100
100,5,100,100
100,1,100,90
90,5,0,90
90,2,0,90
90,3,0,100
100,2,100,100
100,3,100,100
100,2,100,100
100,4,100,99
99,3,0,99
99,2,0,100
100,1,100,90
90,2,0,90
90,4,0,89
89,5,0,89
89,4,0,88
88,4,0,87
87,2,0,88
88,1,0,78
78,1,0,68
68,4,0,67
67,2,0,68
68,1,0,58
58,1,0,48
48,1,0,38
38,4,0,37
37,1,0,27
27,1,0,17
17,1,0,7
7,2,0,8
8,4,0,7
7,5,0,7
7,1,0,7
7,2,0,8
8,1,0,8
8,4,0,7
7,5,0,7
7,5,0,7
7,3,0,17
17,4,0,16
16,1,0,6
6,1,0,6
6,4,0,5
5,5,0,5
5,4,0,4
4,3,0,14
14,3,0,24
24,3,0,34
34,5,0,34
34,3,0,44
44,4,0,43
43,2,0,44
44,4,0,43
43,2,0,44
44,4,0,43
43,1,0,33
33,3,0,43
43,4,0,42
42,1,0,32
32,1,0,22
22,2,0,23
23,2,0,24
24,5,0,24
24,5,0,24
24,4,0,23
23,2,0,24
24,5,0,24
24,3,0,34
34,3,0,44
44,3,0,54
54,1,0,44
44,3,0,54
